【整租】斑竹园 鑫北广场 1室0厅,鑫北广场,1400,http://cd.58.com/pinpaigongyu/30874339457457x.shtml?psid=140736352197219025350779671
【整租】大源村 世豪广场天府豪庭 4室1厅,世豪广场天府豪庭,1250,http://cd.58.com/pinpaigongyu/31185111227452x.shtml?psid=140736352197219025350779671
【整租】大源村 清凤时代城 1室1厅,清凤时代城,1780,http://cd.58.com/pinpaigongyu/31139903709997x.shtml?psid=140736352197219025350779671
【整租】财盛物业 航空港 韩国城店,航空港,1780-2180,http://cd.58.com/pinpaigongyu/31285760905647x.shtml?psid=109747895197219025533085236
【整租】驷马桥 金科中心 2室1厅,金科中心,1860,http://cd.58.com/pinpaigongyu/29459675429950x.shtml?psid=109747895197219025533085236
【整租】FUNX女性自由公寓 驷马桥 成华区金科店,驷马桥,1760,http://cd.58.com/pinpaigongyu/30920473830084x.shtml?psid=109747895197219025533085236
【整租】黄忠 建发金沙里 1室0厅,建发金沙里,1850,http://cd.58.com/pinpaigongyu/30957404735925x.shtml?psid=109747895197219025533085236
【整租】大源村 利通时代晶座 1室1厅,利通时代晶座,1700,http://cd.58.com/pinpaigongyu/30709316340668x.shtml?psid=109747895197219025533085236
【整租】FUNX女性自由公寓 驷马桥 成华区金科店,驷马桥,1710,http://cd.58.com/pinpaigongyu/30920478711082x.shtml?psid=109747895197219025533085236
【整租】大源村 利通时代晶座 1室1厅,利通时代晶座,1700,http://cd.58.com/pinpaigongyu/30710989991850x.shtml?psid=109747895197219025533085236
【整租】航空港 南城香山 1室1厅,南城香山,2000,http://cd.58.com/pinpaigongyu/30995952681785x.shtml?psid=109747895197219025533085236
【整租】驷马桥 金科中心 1室0厅,金科中心,1660,http://cd.58.com/pinpaigongyu/29060876266811x.shtml?psid=109747895197219025533085236
【整租】驷马桥 金科中心 1室1厅,金科中心,1760,http://cd.58.com/pinpaigongyu/29060407385395x.shtml?psid=109747895197219025533085236
【合租】莲桂路 帕丽湾 4室主卧,帕丽湾,1050,http://cd.58.com/pinpaigongyu/30874778506699x.shtml?psid=109747895197219025533085236
【整租】优家公寓 大源村 YOU+大源,大源村,1650-1950,http://cd.58.com/pinpaigongyu/30855778127946x.shtml?psid=109747895197219025533085236
【整租】斑竹园 鑫北广场 1室1厅,鑫北广场,1300,http://cd.58.com/pinpaigongyu/31163077948852x.shtml?psid=109747895197219025533085236
【合租】外金沙 欧韵金沙 3室主卧,欧韵金沙,1205,http://cd.58.com/pinpaigongyu/31140305960137x.shtml?psid=109747895197219025533085236
【整租】大源村 清凤时代城 1室1厅,清凤时代城,1780,http://cd.58.com/pinpaigongyu/31283482799797x.shtml?psid=109747895197219025533085236
